City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,tamanrasset,22.785,5.5228,27.95,7,0,5.14,DZ,1681842762
227,kuching,1.55,110.3333,27.12,83,40,2.24,MY,1681842762
228,atafu village,-8.5421,-172.5159,27.73,76,54,2.27,TK,1681842762
229,ola,59.5833,151.2833,-6.38,75,59,5.25,RU,1681842762
230,fayroz koh,34.5195,65.2509,7.5,70,100,1.43,AF,1681842762
231,toulepleu guere,6.574,-8.4259,23.68,94,70,1.75,CI,1681842762
232,cabo san lucas,22.8909,-109.9124,29.23,47,40,4.12,MX,1681842762
233,jhinjhana,29.5167,77.2167,27.9,30,97,2.07,IN,1681842762
234,yamada,39.4667,141.95,9.49,87,100,2.1,JP,1681842762
235,namibe,-15.1961,12.1522,25.22,75,1,1.58,AO,1681842763
236,tura,25.5198,90.2201,27.19,53,0,3.43,IN,1681842763
237,pandan,14.0453,124.1694,25.99,85,82,3.12,PH,1681842763
238,alice springs,-23.7,133.8833,8.75,93,100,0.51,AU,1681842763
239,santana,-0.0583,-51.1817,28.1,89,75,2.06,BR,1681842763
240,manismata,-2.4667,111.0333,23.41,96,100,0.19,ID,1681842763
241,zeerust,-25.5369,26.0751,17.0,29,0,1.42,ZA,1681842763
242,ta`u,-14.2336,-169.5144,26.58,81,100,7.49,AS,1681842763
243,flying fish cove,-10.4217,105.6791,27.43,77,43,6.72,CX,1681842763
244,ngudu,-2.9667,33.3333,18.35,91,26,2.28,TZ,1681842764
245,bikenibeu village,1.3673,173.1241,26.98,83,20,1.54,KI,1681842764
246,aripuana,-9.1667,-60.6333,27.65,85,100,1.81,BR,1681842764
247,puerto baquerizo moreno,-0.9,-89.6,26.55,89,75,2.06,EC,1681842764
248,valdivia,-39.8142,-73.2459,14.05,98,100,0.99,CL,1681842764
249,tekkali,18.6167,84.2333,27.85,69,7,2.77,IN,1681842764
250,polyarnyy,69.1989,33.4478,1.21,92,100,4.1,RU,1681842764
251,basyun,30.9398,30.8134,21.28,59,96,4.87,EG,1681842765
252,yangquan,37.8575,113.5633,15.25,45,0,0.44,CN,1681842765
253,mar del plata,-38.0023,-57.5575,18.3,41,0,6.17,AR,1681842697
254,constantia,44.1833,28.65,10.39,85,93,3.69,RO,1681842592
255,ixtapa,20.7,-105.2,25.57,69,20,5.66,MX,1681842765
256,qamdo,31.1667,97.2333,0.96,73,8,1.1,CN,1681842765
257,wailua homesteads,22.0669,-159.378,23.44,79,75,7.72,US,1681842765
258,new norfolk,-42.7826,147.0587,13.72,82,100,0.45,AU,1681842765
259,karratha,-20.7377,116.8463,24.28,49,5,4.11,AU,1681842765
260,cockburn town,21.4612,-71.1419,25.81,74,49,5.68,TC,1681842766
261,port lincoln,-34.7333,135.8667,14.53,65,65,6.32,AU,1681842766
262,prado,-17.3411,-39.2208,27.72,77,14,5.11,BR,1681842766
263,port augusta,-32.5,137.7667,16.54,74,89,8.26,AU,1681842766
264,anna regina,7.2644,-58.5077,27.64,66,99,4.2,GY,1681842766
265,al burayqah,30.4062,19.5739,17.07,65,54,6.17,LY,1681842766
266,korla,41.7597,86.1469,12.94,35,100,5.67,CN,1681842766
267,dubovka,49.0583,44.829,11.53,43,100,5.55,RU,1681842766
268,praia da vitoria,38.7333,-27.0667,15.14,77,40,2.3,PT,1681842767
269,nadi,-17.8,177.4167,24.0,94,20,0.0,FJ,1681842339
270,oltinko'l,40.8011,72.1634,10.95,39,0,1.07,UZ,1681842767
271,shingu,33.7333,135.9833,16.62,91,100,2.19,JP,1681842767
272,fortuna,40.5982,-124.1573,12.74,64,99,3.13,US,1681842767
